bot,round,winningPer
PurpleWave,69,0.8182
PurpleWave,70,0.8333
PurpleWave,71,0.8333
PurpleWave,72,0.9167
PurpleWave,73,0.8333
PurpleWave,74,0.8333
PurpleWave,75,0.9167
PurpleWave,76,0.9167
PurpleWave,77,0.8182
PurpleWave,78,0.8333
PurpleWave,79,0.8333
PurpleWave,80,0.9167
PurpleWave,81,0.9167
PurpleWave,82,0.8333
PurpleWave,83,0.8333
PurpleWave,84,0.75
PurpleWave,85,0.75
PurpleWave,86,0.8333
PurpleWave,87,0.8333
PurpleWave,88,0.6667
PurpleWave,89,0.8333
PurpleWave,90,0.8333
PurpleWave,91,0.8333
PurpleWave,92,0.8333
PurpleWave,93,1
PurpleWave,94,0.8333
PurpleWave,95,0.8333
PurpleWave,96,0.8333
PurpleWave,97,0.6667
PurpleWave,98,0.9167
PurpleWave,99,0.6667
BananaBrain,0,0.6667
BananaBrain,1,0.75
BananaBrain,2,0.5833
BananaBrain,3,0.6667
BananaBrain,4,0.5833
BananaBrain,5,0.6667
BananaBrain,6,0.8333
BananaBrain,7,0.75
BananaBrain,8,0.9167
BananaBrain,9,0.5
BananaBrain,10,0.5833
BananaBrain,11,0.75
BananaBrain,12,0.6667
BananaBrain,13,0.5
BananaBrain,14,0.75
BananaBrain,15,0.5833
BananaBrain,16,0.6667
BananaBrain,17,0.75
BananaBrain,18,0.6667
BananaBrain,19,0.5
BananaBrain,20,0.6667
BananaBrain,21,0.6667
BananaBrain,22,0.8333
BananaBrain,23,0.6667
BananaBrain,24,0.5833
BananaBrain,25,0.75
BananaBrain,26,0.9167
BananaBrain,27,0.4167
BananaBrain,28,1
BananaBrain,29,0.5833
BananaBrain,30,0.3333
BananaBrain,31,0.6667
BananaBrain,32,0.75
BananaBrain,33,0.5833
BananaBrain,34,0.5833
BananaBrain,35,0.75
BananaBrain,36,0.5
BananaBrain,37,0.6667
BananaBrain,38,0.6667
BananaBrain,39,0.75
BananaBrain,40,0.6667
BananaBrain,41,0.6667
BananaBrain,42,0.5833
BananaBrain,43,0.75
BananaBrain,44,0.5833
BananaBrain,45,0.6667
BananaBrain,46,0.8333
BananaBrain,47,0.6667
BananaBrain,48,0.75
BananaBrain,49,0.6667
BananaBrain,50,0.6667
BananaBrain,51,0.6667
BananaBrain,52,0.6667
BananaBrain,53,0.75
BananaBrain,54,0.6667
BananaBrain,55,0.6667
BananaBrain,56,0.6667
BananaBrain,57,0.6667
BananaBrain,58,0.9167
BananaBrain,59,0.5833
BananaBrain,60,0.5833
BananaBrain,61,0.5833
BananaBrain,62,0.6667
BananaBrain,63,0.5833
BananaBrain,64,0.5833
BananaBrain,65,0.6667
BananaBrain,66,0.75
BananaBrain,67,0.75
BananaBrain,68,0.6667
BananaBrain,69,0.5833
BananaBrain,70,0.6667
BananaBrain,71,0.6667
BananaBrain,72,0.5833
BananaBrain,73,0.9167
BananaBrain,74,0.5833
BananaBrain,75,0.75
BananaBrain,76,1
BananaBrain,77,0.75
BananaBrain,78,0.5833
BananaBrain,79,0.8333
BananaBrain,80,0.8333
BananaBrain,81,0.5833
BananaBrain,82,0.75
BananaBrain,83,0.9167
BananaBrain,84,0.5833
BananaBrain,85,0.75
BananaBrain,86,0.6667
BananaBrain,87,0.8333
BananaBrain,88,0.6667
BananaBrain,89,0.75
BananaBrain,90,0.6667
BananaBrain,91,0.75
BananaBrain,92,0.6667
BananaBrain,93,0.5833
BananaBrain,94,0.6667
BananaBrain,95,0.8333
BananaBrain,96,0.8333
BananaBrain,97,0.7273
BananaBrain,98,0.8333
BananaBrain,99,0.75
DaQin,0,0.75
DaQin,1,0.75
DaQin,2,0.5833
DaQin,3,0.75
DaQin,4,0.8333
DaQin,5,0.75
DaQin,6,0.6667
DaQin,7,0.5833
DaQin,8,0.6667
DaQin,9,0.6667
DaQin,10,0.5833
DaQin,11,0.75
DaQin,12,0.75
DaQin,13,0.75
DaQin,14,0.6667
DaQin,15,0.6667
DaQin,16,0.8333
DaQin,17,0.5833
DaQin,18,0.6667
DaQin,19,0.75
DaQin,20,0.6667
DaQin,21,0.6667
DaQin,22,0.5833
DaQin,23,0.75
DaQin,24,0.75
DaQin,25,0.6667
DaQin,26,0.5
DaQin,27,0.6667
DaQin,28,0.5833
DaQin,29,0.5
DaQin,30,0.5833
DaQin,31,0.75
DaQin,32,0.5
DaQin,33,0.6667
DaQin,34,0.5833
DaQin,35,0.5
DaQin,36,0.6667
DaQin,37,0.5
DaQin,38,0.6667
DaQin,39,0.5833
DaQin,40,0.5833
DaQin,41,0.6667
DaQin,42,0.75
DaQin,43,0.5833
DaQin,44,0.5833
DaQin,45,0.4167
DaQin,46,0.5
DaQin,47,0.4167
DaQin,48,0.5833
DaQin,49,0.75
DaQin,50,0.6667
DaQin,51,0.6667
DaQin,52,0.4167
DaQin,53,0.5833
DaQin,54,0.5833
DaQin,55,0.8333
DaQin,56,0.6667
DaQin,57,0.4167
DaQin,58,0.4167
DaQin,59,0.5
DaQin,60,0.6667
DaQin,61,0.8333
DaQin,62,0.6667
DaQin,63,0.6667
DaQin,64,0.6667
DaQin,65,0.6667
DaQin,66,0.4167
DaQin,67,0.6667
DaQin,68,0.5
DaQin,69,0.8333
DaQin,70,0.8333
DaQin,71,0.75
DaQin,72,0.6667
DaQin,73,0.75
DaQin,74,0.6667
DaQin,75,0.6667
DaQin,76,0.5833
DaQin,77,0.5
DaQin,78,0.5833
DaQin,79,0.5833
DaQin,80,0.5833
DaQin,81,0.5833
DaQin,82,0.5
DaQin,83,0.5833
DaQin,84,0.6667
DaQin,85,0.6667
DaQin,86,0.5833
DaQin,87,0.5833
DaQin,88,0.5
DaQin,89,0.6667
DaQin,90,0.75
DaQin,91,0.5833
DaQin,92,0.5
DaQin,93,0.6667
DaQin,94,0.5833
DaQin,95,0.5833
DaQin,96,0.6667
DaQin,97,0.6667
DaQin,98,0.5833
DaQin,99,0.75
Steamhammer,0,0.3333
Steamhammer,1,0.5
Steamhammer,2,0.5
Steamhammer,3,0.75
Steamhammer,4,0.5
Steamhammer,5,0.6667
Steamhammer,6,0.6667
Steamhammer,7,0.3333
Steamhammer,8,0.4167
Steamhammer,9,0.4167
Steamhammer,10,0.5
Steamhammer,11,0.4167
Steamhammer,12,0.4167
Steamhammer,13,0.5
Steamhammer,14,0.4167
Steamhammer,15,0.5
Steamhammer,16,0.2727
Steamhammer,17,0.4167
Steamhammer,18,0.3333
Steamhammer,19,0.3333
Steamhammer,20,0.5833
Steamhammer,21,0.4167
Steamhammer,22,0.5833
Steamhammer,23,0.5833
Steamhammer,24,0.4167
Steamhammer,25,0.6667
Steamhammer,26,0.5833
Steamhammer,27,0.5833
Steamhammer,28,0.5833
Steamhammer,29,0.5833
Steamhammer,30,0.5
Steamhammer,31,0.5833
Steamhammer,32,0.5833
Steamhammer,33,0.75
Steamhammer,34,0.4167
